	ID	IDC	MT_TOT	PMG	RECENCE
769	769	2001	14.0	4. P	9
770	770	2002	6.0	4. P	9
771	771	2003	10.0	4. P	9
772	772	2006	7087.6	3. M	0
773	773	2008	26.5	4. P	9
774	774	2009	10.0	4. P	9
775	775	2010	424.0	4. P	9
776	776	2011	33.5	4. P	9
777	777	2013	40.0	4. P	9
778	778	2015	10.0	4. P	9
779	779	2017	298.4	4. P	8
780	780	2019	6000.0	3. M	0
781	781	2020	406.1	4. P	0
782	782	2022	28.5	4. P	9
783	783	2024	34168.0	2. G	0
784	784	2025	10.0	4. P	9
785	785	2026	113.0	4. P	6
786	786	2027	137.0	4. P	9
787	787	2028	59.5	4. P	1
788	788	2029	112.0	4. P	9
789	789	2030	18.0	4. P	8
790	790	2031	809.0	4. P	1
791	791	2032	106.5	4. P	2
792	792	2034	6049.0	3. M	0
793	793	2035	1508.0	4. P	0
794	794	2036	45.5	4. P	9
795	795	2037	490.0	4. P	0
796	796	2038	12.0	4. P	9
797	797	2039	42.5	4. P	9
798	798	2040	10.0	4. P	9
799	799	2041	805.5	4. P	0
800	800	2042	10.5	4. P	9
801	801	2043	770.0	4. P	1
802	802	2044	10.0	4. P	9
803	803	2045	14.5	4. P	9
