,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,KEYMAX2,KEYMIN2,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,Produit 0,Produit 1,Produit 2,Produit 3,Produit 4,Produit 5,Produit 6,PMG,PMG2,REC,RECENCE,MT90,MT30
1267,1267,2586,11.5,5,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,11.5,,,,,,,,7.0,,,4.0,,0.5,,4. P,4,2,7,11.5,11.5
1268,1268,2587,10.0,6,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,4.0,6.0,,4. P,4,2,7,10.0,10.0
1269,1269,2588,9.5,8,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,1.5,8.0,,4. P,4,2,7,9.5,9.5
1270,1270,2589,9.9,2,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,9.9,,,,,,,,,,,,1.5,,8.4,4. P,4,2,7,9.9,9.9
1271,1271,2591,10.5,2,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,,3.0,,7.5,4. P,4,2,7,10.5,10.5
1272,1272,2592,10.0,4,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,5.0,5.0,,4. P,4,2,7,10.0,10.0
1273,1273,2593,14.0,13,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,14.0,,,,4. P,4,2,7,14.0,14.0
1274,1274,2594,10.0,2,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,10.0,,,,4. P,4,2,7,10.0,10.0
1275,1275,2595,121.0,53,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,121.0,,,,,,,,,,,16.5,1.5,102.0,1.0,4. P,4,2,7,121.0,121.0
1276,1276,2596,28991.0,214,2014-06-01,2014-04-01,24174,24172,,,,,,,,,,,,,,,,923.0,18745.0,9323.0,,,,,,,,,22596.0,6395.0,,,2. G,2,3,5,28991.0,16838.0
1277,1277,2597,10.0,2,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,10.0,,,,4. P,4,2,7,10.0,10.0
1278,1278,2598,96.5,20,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,96.5,,,,,,,,,,,96.5,,,,4. P,4,2,7,96.5,96.5
1279,1279,2599,18.0,31,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,4.0,14.0,,4. P,4,2,7,18.0,18.0
1280,1280,2600,25.0,9,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,24.0,1.0,,,4. P,4,2,7,25.0,25.0
1281,1281,2601,10.0,11,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,1.5,0.5,8.0,,4. P,4,2,7,10.0,10.0
